鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
松山區,建物,臺北市松山區復興北路427巷1~30號,0.0,住,,,1060215,土地0建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971013,39.68,1,1,1,有,有,有,33000,832,,0.0,0,租金內含管理費,RPWOMLKLKHMFFDA08CC
士林區,建物,臺北市士林區中山北路六段290巷7弄31~60號,0.0,住,,,1060201,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690522,146.13000000000002,3,2,2,有,有,有,63000,431,,0.0,0,,RPQNMLKLKHMFFEA47CC
士林區,建物,臺北市士林區天母西路13巷1~30號,0.0,商,,,1060101,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0731113,151.98000000000002,3,2,2,有,有,有,70000,461,,0.0,0,,RPWOMLKLKHMFFEA18CC
萬華區,建物,臺北市萬華區成都路121~150號,0.0,商,,,1060208,土地0建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041001,97.79,2,1,1,有,有,有,31000,317,,0.0,0,,RPSNMLKLKHMFFBA37CC
中正區,建物,臺北市中正區忠孝東路二段61~90號,0.0,商,,,1060210,土地0建物1車位0,五層,13,辦公商業大樓,商業用,鋼筋混凝土造,0881125,140.93,0,0,0,無,有,無,68000,483,,0.0,0,,RPTNMLKLKHMFFBA47CC
萬華區,建物,臺北市萬華區康定路91~120號,0.0,商,,,1060214,土地0建物1車位0,二十二層,26,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,137.76,3,2,2,有,有,有,40000,290,,0.0,0,,RPUNMLKLKHMFFBA57CC
中山區,建物,臺北市中山區明水路511~540號,0.0,住,,,1060203,土地0建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821222,151.39,4,2,2,有,有,有,43500,287,坡道平面,0.0,0,,RPVOMLKLKHMFFCA87CC
中山區,建物,臺北市中山區雙城街19巷1~30號,0.0,商,,,1060201,土地0建物1車位0,十三層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970312,71.02000000000001,1,1,1,有,有,有,19000,268,,0.0,0,,RPQPMLKLKHMFFCA47CC
中山區,房地(土地+建物),臺北市中山區松江路77巷1~30號,0.0,住,,,1060217,土地1建物1車位0,四層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0931224,33.49,1,1,1,有,有,有,28500,851,,0.0,0,,RPRPMLKLKHMFFCA57CC
中山區,建物,臺北市中山區長春路181~210號,0.0,商,,,1060207,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990324,203.67,3,2,2,有,有,有,72000,354,,0.0,0,,RPSPMLKLKHMFFCA67CC
中山區,建物,臺北市中山區中山北路一段83巷31~60號,0.0,商,,,1060210,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970314,133.0,2,2,1,有,有,有,60000,451,,0.0,0,租金含管理費,RPVPMLKLKHMFFCA97CC
內湖區,建物,臺北市內湖區洲子街61~90號,0.0,工,,,1060220,土地0建物1車位3,三層,10,廠辦,工業用,見其他登記事項,0950418,306.78999999999996,0,0,0,無,有,無,110000,359,坡道平面,167.01,0,,RPWPMLKLKHMFFCA08CC
中山區,房地(土地+建物),臺北市中山區中山北路二段128巷1~30號,75.0,住,,,1060124,土地1建物1車位0,二層,2,公寓(5樓含以下無電梯),,加強磚造,,50.37,1,1,1,有,無,有,28000,556,,0.0,0,夾層增建、房屋前後增建約25坪,RPOQMLKLKHMFFCA37CC
內湖區,建物,臺北市內湖區瑞光路601~630號,0.0,其他,,,1060111,土地0建物1車位6,六層,10,辦公商業大樓,工業用,鋼筋混凝土造,0930105,932.02,7,0,0,有,有,無,326000,424,坡道平面,204.8,18000,,RPPQMLKLKHMFFCA47CC
中山區,建物,臺北市中山區中山北路二段31~60號,0.0,商,,,1060206,土地0建物1車位0,九層,12,辦公商業大樓,商業用,鋼筋混凝土造,0761103,82.32,0,0,0,無,有,無,45000,547,,0.0,0,,RPQQMLKLKHMFFCA57CC
