編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLLLKHMFFCC67EA,40,36.36,住家用,鋼筋混凝土造,66年1月7日,四層,二層
RPQOMLKLKHMFFCC37CA,21,98.60,住家用,鋼筋混凝土造,85年3月22日,七層,五層
RPQOMLKLKHMFFCC37CA,21,6.12,共用部份,鋼筋混凝土造,85年3月22日,七層,
RPQOMLKLKHMFFCC37CA,21,15.22,共用部份,鋼筋混凝土造,85年3月22日,七層,
RPTNMLMLKHMFFCC77CA,29,1.25,共用部份,鋼筋混凝土造,76年12月31日,五層,
RPTNMLMLKHMFFCC77CA,29,91.69,住家用,鋼筋混凝土造,76年12月31日,五層,五層
RPTNMLMLKHMFFCC77CA,29,3.00,共用部份,鋼筋混凝土造,76年12月31日,五層,
RPTNMLMLKHMFFCC77CA,29,3.00,共用部份,鋼筋混凝土造,76年12月31日,五層,
RPSNMLTJLHMFFBC18CA,22,40.41,共用部份,鋼筋混凝土造,84年6月10日,四層,
RPVNMLMLKHMFFBC87CA,40,119.28,住家用,鋼筋混凝土加強磚造,66年4月7日,六層,四層
RPWNMLMLKHMFFBC97CA,,49.60,住家用,磚造,,一層,一層
RPTNMLMLKHMFFBC67CA,41,58.09,住家用,鋼筋混凝土加強磚造,65年5月11日,四層,二層
RPQNMLMLKHMFFBC37CA,20,111.01,見其他登記事項,鋼筋混凝土造,86年6月30日,十四層,四層
RPQNMLMLKHMFFBC37CA,20,20.34,共用部份,鋼筋混凝土造,86年6月30日,十四層,
RPQNMLMLKHMFFBC37CA,20,39.33,共用部份,鋼筋混凝土造,86年6月30日,十四層,
RPRNMLMLKHMFFBC47CA,47,150.76,住商用,加強磚造,59年4月6日,四層,一層 二層 三層 四層 騎樓
RPQNMLNLKHMFFBC47CA,20,24.89,住家用,鋼筋混凝土造,85年11月29日,二十三層,二層
RPQNMLNLKHMFFBC47CA,20,4.19,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPQNMLNLKHMFFBC47CA,20,1.44,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPQNMLNLKHMFFBC47CA,20,1.93,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPTNMLNLKHMFFBC77CA,18,55.96,住家用,鋼筋混凝土造,88年1月22日,七層,四層
RPTNMLNLKHMFFBC77CA,18,10.66,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPTNMLNLKHMFFBC77CA,18,3.99,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPTNMLNLKHMFFBC77CA,18,34.52,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPTNMLNLKHMFFBC77CA,18,1.58,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPPNMLLJLHMFFBC07CA,1,1.33,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,
RPPNMLLJLHMFFBC07CA,1,.03,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,二層
RPPNMLLJLHMFFBC07CA,1,1.33,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,
RPPNMLLJLHMFFBC07CA,1,.05,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,二層
RPPNMLLJLHMFFBC07CA,1,.83,見其他登記事項,鋼筋混凝土造,105年2月5日,一層,
RPPNMLLJLHMFFBC07CA,1,191.14,見其他登記事項,鋼筋混凝土造,105年2月5日,四層,一層 二層 三層 四層
RPQNMLLJLHMFFBC17CA,1,1.35,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,
RPQNMLLJLHMFFBC17CA,1,.04,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,二層
RPQNMLLJLHMFFBC17CA,1,1.35,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,
RPQNMLLJLHMFFBC17CA,1,.05,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,二層
RPQNMLLJLHMFFBC17CA,1,.84,見其他登記事項,鋼筋混凝土造,105年2月5日,一層,
RPQNMLLJLHMFFBC17CA,1,195.32,見其他登記事項,鋼筋混凝土造,105年2月5日,四層,一層 二層 三層 四層
RPTNMLLJLHMFFBC47CA,41,68.17,住家用,鋼筋混凝土加強磚造,65年6月14日,四層,一層
RPSNMLNKLHMFFBC67CA,44,102.22,住家用,鋼筋混凝土加強磚造,62年2月2日,四層,二層
RPTNMLNKLHMFFBC77CA,,85.50,住家用,加強磚造,,二層,一層 二層
RPOOMLSJLHMFFBC77CA,13,140.09,住家用,鋼筋混凝土造,93年5月6日,十二層,八層
RPOOMLSJLHMFFBC77CA,13,42.67,共用部份,鋼筋混凝土造,93年5月6日,十二層,
RPPNMLTJLHMFFBC87CA,1,95.57,見其他登記事項,鋼筋混凝土造,105年2月5日,四層,一層 二層 三層 四層
RPPNMLTJLHMFFBC87CA,1,95.57,見其他登記事項,鋼筋混凝土造,105年2月5日,四層,一層 二層 三層 四層
RPPNMLTJLHMFFBC87CA,1,.02,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,二層
RPPNMLTJLHMFFBC87CA,1,.02,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,二層
RPPNMLTJLHMFFBC87CA,1,1.33,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,
RPPNMLTJLHMFFBC87CA,1,.02,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,二層
RPPNMLTJLHMFFBC87CA,1,1.33,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,
RPPNMLTJLHMFFBC87CA,1,.02,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,二層
RPPNMLTJLHMFFBC87CA,1,.41,見其他登記事項,鋼筋混凝土造,105年2月5日,一層,
RPPNMLTJLHMFFBC87CA,1,.41,見其他登記事項,鋼筋混凝土造,105年2月5日,一層,
RPQOMLMLKHMFFCC57CA,1,49.55,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,七層
RPQOMLMLKHMFFCC57CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
