鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,18.06,商,,,1040321,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,171.04,3,2,2,有,有,6450000,37710,坡道平面,0.0,0,,RPXPMLNJLHMFFCL66CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,18.48,商,,,1041106,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,177.13,3,2,2,有,有,6440000,36357,坡道平面,0.0,0,,RPOQMLNJLHMFFCL48CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,20.58,商,,,1040718,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,197.11,3,2,2,有,有,7410000,37593,坡道平面,0.0,0,,RPPQMLNJLHMFFCL58CA
梧棲區,房地(土地+建物),臺中市梧棲區大仁路二段391~420號,13.44,商,,,1041105,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,134.45999999999998,3,2,2,有,有,4800000,35698,,0.0,0,,RPQQMLNJLHMFFCL68CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,15.54,商,,,1040512,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,147.13,3,2,2,有,有,5500000,37382,坡道平面,0.0,0,,RPRQMLNJLHMFFCL78CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,17.85,商,,,1031201,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,169.07,3,2,2,有,有,6280000,37144,坡道平面,0.0,0,,RPSQMLNJLHMFFCL88CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,17.85,商,,,1031122,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,169.07,3,2,2,有,有,6300000,37263,坡道平面,0.0,0,,RPTQMLNJLHMFFCL98CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,20.58,商,,,1040530,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,197.11,3,2,2,有,有,7450000,37796,坡道平面,0.0,0,,RPUQMLNJLHMFFCL09CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,16.38,商,,,1040302,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,155.45999999999998,3,2,2,有,有,5800000,37309,坡道平面,0.0,0,,RPXQMLNJLHMFFCL76CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,18.06,商,,,1031128,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,171.04,3,2,2,有,有,6380000,37301,坡道平面,0.0,0,,RPORMLNJLHMFFCL58CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,18.27,商,,,1040701,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,173.42000000000002,3,2,2,有,有,6460000,37251,坡道平面,0.0,0,,RPPRMLNJLHMFFCL68CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,18.06,商,,,1031130,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,171.04,3,2,2,有,有,6450000,37710,坡道平面,0.0,0,,RPQRMLNJLHMFFCL78CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,20.58,商,,,1040427,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,197.11,3,2,2,有,有,7468000,37887,坡道平面,0.0,0,,RPXOMLNJLHMFFCL56CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,19.11,商,,,1031117,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,183.96,3,2,2,有,有,6680000,36312,坡道平面,0.0,0,,RPPOMLMJLHMFFCL28CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,18.06,商,,,1031105,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,171.04,3,2,2,有,有,6320000,36950,坡道平面,0.0,0,,RPROMLMJLHMFFCL48CA
梧棲區,房地(土地+建物),臺中市梧棲區大仁路二段361~390號,16.59,商,,,1040830,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,165.57,4,2,2,有,有,5790000,34970,,0.0,0,,RPSOMLMJLHMFFCL58CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,18.27,商,,,1040728,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,173.42000000000002,3,2,2,有,有,6460000,37251,坡道平面,0.0,0,,RPTOMLMJLHMFFCL68CA
梧棲區,房地(土地+建物),臺中市梧棲區大仁路二段361~390號,15.54,商,,,1040927,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,156.13,3,2,2,有,有,5647000,36169,,0.0,0,,RPUOMLMJLHMFFCL78CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,18.48,商,,,1040910,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,177.13,3,2,2,有,有,6267000,35381,坡道平面,0.0,0,,RPVOMLMJLHMFFCL88CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,18.27,商,,,1040712,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,173.42000000000002,3,2,2,有,有,6380000,36789,坡道平面,0.0,0,,RPUNMLNJLHMFFCL78CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,15.54,商,,,1040515,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,147.13,3,2,2,有,有,5520000,37518,坡道平面,0.0,0,,RPVNMLNJLHMFFCL88CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,18.48,商,,,1040412,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,177.13,3,2,2,有,有,6600000,37261,坡道平面,0.0,0,,RPWNMLNJLHMFFCL98CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,18.27,商,,,1040718,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,173.42000000000002,3,2,2,有,有,6870000,39615,坡道平面,0.0,0,,RPXNMLNJLHMFFCL09CA
梧棲區,房地(土地+建物),臺中市梧棲區大仁路二段361~390號,15.33,商,,,1031119,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,152.42000000000002,3,2,2,有,有,5940000,38971,,0.0,0,,RPOOMLNJLHMFFCL28CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,22.05,商,,,1031119,土地1建物1車位2,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,204.96,3,2,2,有,有,7520000,36690,坡道平面,0.0,0,,SPOOMLNJLHMFFCL38CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,15.54,商,,,1040115,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,147.13,3,2,2,有,有,5500000,37382,坡道平面,0.0,0,,RPROMLNJLHMFFCL58CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,19.11,商,,,1031027,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,183.96,3,2,2,有,有,6700000,36421,坡道平面,0.0,0,,RPSOMLNJLHMFFCL68CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,15.54,商,,,1051125,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,147.13,3,2,2,有,有,5167000,35119,坡道平面,0.0,0,,RPVOMLNJLHMFFCL98CA
新社區,房地(土地+建物),臺中市新社區興隆街1~30號,593.0,,一般農業區,丁種建築用地,1051230,土地2建物2車位0,一層,一層,廠辦,工業用,加強磚造,0660203,131.86,0,0,0,有,無,8100000,61429,,0.0,0,,RPPNMLNJLHMFFEL48CA
東勢區,土地,和興段391~420地號,127.65,住,,,1051130,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,18018,,0.0,0,,RPUNMLKLKHMFFEL78CA
新社區,土地,三友部段1~30地號,312.0,,山坡地保育區,丙種建築用地,1060129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,16026,,0.0,0,含增建或未登記建物。,RPRNMLLLKHMFFEL58CA
新社區,土地,水底寮段上水底寮小段2851~2880地號,19600.0,,山坡地保育區,農牧用地,1051220,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5800000,296,,0.0,0,"承買人共二人,買賣標的地有小部份供毗鄰地走路通行使用,及小部分被鄰地地主種植果樹使用.",RPPNMLMLKHMFFEL48CA
清水區,房地(土地+建物),臺中市清水區公正路151~180號,83.0,住,,,1060113,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0950118,212.92,5,2,3,有,無,7600000,35694,,0.0,0,,RPVNMLKKLHMFFCL68CA
東勢區,土地,石壁坑段481~510地號,485.0,,山坡地保育區,丙種建築用地,1051128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3100000,6392,,0.0,0,,RPPNMLKLKHMFFEL28CA
新社區,土地,三友部段391~420地號,5.0,,山坡地保育區,農牧用地,1060203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,70000,14000,,0.0,0,,RPSNMLKLKHMFFEL58CA
潭子區,房地(土地+建物),臺中市潭子區大豐路二段97巷1~30號,11.38,住,,,1060209,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0671215,19.15,4,2,2,有,無,400000,20888,,0.0,0,親友特殊關係間之交易。,RPVNMLLLKHMFFFL09CA
